Player,Nation,Pos,Age,MP,Playing Time_Starts,Playing Time_Min,Playing Time_90s,Performance_Gls,Performance_Ast,Performance_G+A,Performance_G-PK,Performance_PK,Performance_PKatt,Performance_CrdY,Performance_CrdR,Expected_xG,Expected_npxG,Expected_xAG,Expected_npxG+xAG,Progression_PrgC,Progression_PrgP,Progression_PrgR,Per 90 Minutes_Gls,Per 90 Minutes_Ast,Per 90 Minutes_G+A,Per 90 Minutes_G-PK,Per 90 Minutes_G+A-PK,Per 90 Minutes_xG,Per 90 Minutes_xAG,Per 90 Minutes_xG+xAG,Per 90 Minutes_npxG,Per 90 Minutes_npxG+xAG,Playing Time_MP,Performance_GA,Performance_GA90,Performance_SoTA,Performance_Saves,Performance_Save%,Performance_W,Performance_D,Performance_L,Performance_CS,Performance_CS%,Penalty Kicks_PKatt,Penalty Kicks_PKA,Penalty Kicks_PKsv,Penalty Kicks_PKm,Penalty Kicks_Save%,90s,Goals_GA,Goals_PKA,Goals_FK,Goals_CK,Goals_OG,Expected_PSxG,Expected_PSxG/SoT,Expected_PSxG+/-,Expected_/90,Launched_Cmp,Launched_Att,Launched_Cmp%,Passes_Att (GK),Passes_Thr,Passes_Launch%,Passes_AvgLen,Goal Kicks_Att,Goal Kicks_Launch%,Goal Kicks_AvgLen,Crosses_Opp,Crosses_Stp,Crosses_Stp%,Sweeper_#OPA,Sweeper_#OPA/90,Sweeper_AvgDist,Standard_Gls,Standard_Sh,Standard_SoT,Standard_SoT%,Standard_Sh/90,Standard_SoT/90,Standard_G/Sh,Standard_G/SoT,Standard_Dist,Standard_FK,Standard_PK,Standard_PKatt,Expected_npxG/Sh,Expected_G-xG,Expected_np:G-xG,Total_Cmp,Total_Att,Total_Cmp%,Total_TotDist,Total_PrgDist,Short_Cmp,Short_Att,Short_Cmp%,Medium_Cmp,Medium_Att,Medium_Cmp%,Long_Cmp,Long_Att,Long_Cmp%,Ast,xAG,Expected_xA,Expected_A-xAG,KP,1/3,PPA,CrsPA,PrgP,SCA_SCA,SCA_SCA90,SCA Types_PassLive,SCA Types_PassDead,SCA Types_TO,SCA Types_Sh,SCA Types_Fld,SCA Types_Def,GCA_GCA,GCA_GCA90,GCA Types_PassLive,GCA Types_PassDead,GCA Types_TO,GCA Types_Sh,GCA Types_Fld,GCA Types_Def,Tackles_Tkl,Tackles_TklW,Tackles_Def 3rd,Tackles_Mid 3rd,Tackles_Att 3rd,Challenges_Tkl,Challenges_Att,Challenges_Tkl%,Challenges_Lost,Blocks_Blocks,Blocks_Sh,Blocks_Pass,Int,Tkl+Int,Clr,Err,Touches_Touches,Touches_Def Pen,Touches_Def 3rd,Touches_Mid 3rd,Touches_Att 3rd,Touches_Att Pen,Touches_Live,Take-Ons_Att,Take-Ons_Succ,Take-Ons_Succ%,Take-Ons_Tkld,Take-Ons_Tkld%,Carries_Carries,Carries_TotDist,Carries_PrgDist,Carries_PrgC,Carries_1/3,Carries_CPA,Carries_Mis,Carries_Dis,Receiving_Rec,Receiving_PrgR,Playing Time_Mn/MP,Playing Time_Min%,Starts_Starts,Starts_Mn/Start,Starts_Compl,Subs_Subs,Subs_Mn/Sub,Subs_unSub,Team Success_PPM,Team Success_onG,Team Success_onGA,Team Success_+/-,Team Success_+/-90,Team Success_On-Off,Team Success (xG)_onxG,Team Success (xG)_onxGA,Team Success (xG)_xG+/-,Team Success (xG)_xG+/-90,Team Success (xG)_On-Off,Performance_2CrdY,Performance_Fls,Performance_Fld,Performance_Off,Performance_Crs,Performance_Int,Performance_TklW,Performance_PKwon,Performance_PKcon,Performance_OG,Performance_Recov,Aerial Duels_Won,Aerial Duels_Lost,Aerial Duels_Won%,Team,Season
Aleix Vidal,es ESP,"MF,FW",27.0,15,4,460.0,5.1,1.0,1.0,2.0,1.0,0.0,0.0,0.0,0.0,1.3,1.3,1.2,2.5,12.0,27.0,72.0,0.2,0.2,0.39,0.2,0.39,0.26,0.23,0.49,0.26,0.49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,8.0,6.0,75.0,1.57,1.17,0.13,0.17,13.9,0.0,0.0,0.0,0.16,-0.3,-0.3,207.0,275.0,75.3,3005.0,827.0,111.0,130.0,85.4,70.0,87.0,80.5,13.0,26.0,50.0,1.0,1.2,0.7,-0.2,4.0,13.0,9.0,0.0,27.0,9.0,1.76,7.0,1.0,0.0,1.0,0.0,0.0,2.0,0.39,2.0,0.0,0.0,0.0,0.0,0.0,6.0,4.0,2.0,3.0,1.0,1.0,10.0,10.0,9.0,4.0,0.0,4.0,9.0,15.0,1.0,0.0,324.0,3.0,46.0,139.0,145.0,29.0,324.0,10.0,3.0,30.0,7.0,70.0,216.0,952.0,421.0,12.0,7.0,6.0,10.0,7.0,257.0,72.0,31.0,13.5,4,59.0,0,11,20.0,8,2.6,17.0,2.0,15.0,2.93,1.26,15.5,6.7,8.8,1.73,0.73,0.0,2.0,12.0,2.0,8.0,9.0,4.0,0.0,0.0,0.0,24.0,3.0,5.0,37.5,Barcelona,2017-2018
André Gomes,pt POR,MF,24.0,16,6,635.0,7.1,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.6,0.6,0.1,0.7,21.0,29.0,49.0,0.0,0.0,0.0,0.0,0.0,0.08,0.02,0.1,0.08,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,7.0,0.0,0.0,0.99,0.0,0.0,,17.3,0.0,0.0,0.0,0.08,-0.6,-0.6,314.0,358.0,87.7,4448.0,959.0,188.0,203.0,92.6,84.0,98.0,85.7,22.0,25.0,88.0,0.0,0.1,0.2,-0.1,3.0,33.0,0.0,0.0,29.0,13.0,1.84,12.0,0.0,1.0,0.0,0.0,0.0,2.0,0.28,2.0,0.0,0.0,0.0,0.0,0.0,19.0,12.0,8.0,10.0,1.0,5.0,13.0,38.5,8.0,7.0,1.0,6.0,4.0,23.0,6.0,0.0,435.0,8.0,59.0,267.0,114.0,19.0,435.0,21.0,9.0,42.9,12.0,57.1,294.0,1419.0,678.0,21.0,12.0,3.0,13.0,19.0,333.0,49.0,40.0,18.6,6,77.0,2,10,17.0,10,2.75,16.0,5.0,11.0,1.56,-0.35,15.1,6.2,8.9,1.27,0.21,0.0,16.0,5.0,3.0,3.0,4.0,12.0,0.0,0.0,0.0,39.0,12.0,7.0,63.2,Barcelona,2017-2018
Andrés Iniesta,es ESP,MF,33.0,30,25,1824.0,20.3,1.0,2.0,3.0,1.0,0.0,0.0,1.0,0.0,0.6,0.6,1.8,2.4,71.0,219.0,75.0,0.05,0.1,0.15,0.05,0.15,0.03,0.09,0.12,0.03,0.12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,16.0,6.0,37.5,0.79,0.3,0.06,0.17,21.9,0.0,0.0,0.0,0.04,0.4,0.4,1352.0,1562.0,86.6,20818.0,5922.0,747.0,805.0,92.8,401.0,453.0,88.5,127.0,173.0,73.4,2.0,1.8,4.4,0.2,17.0,179.0,54.0,6.0,219.0,53.0,2.62,46.0,0.0,4.0,0.0,2.0,1.0,9.0,0.44,8.0,0.0,1.0,0.0,0.0,0.0,28.0,22.0,11.0,8.0,9.0,6.0,31.0,19.4,25.0,21.0,2.0,19.0,10.0,38.0,12.0,1.0,1700.0,13.0,153.0,971.0,601.0,40.0,1700.0,77.0,63.0,81.8,14.0,18.2,1277.0,6068.0,2942.0,71.0,73.0,19.0,27.0,26.0,1488.0,75.0,61.0,53.3,25,69.0,3,5,22.0,2,2.37,45.0,18.0,27.0,1.33,-1.09,38.4,24.9,13.5,0.66,-0.92,0.0,15.0,40.0,0.0,23.0,10.0,22.0,0.0,0.0,0.0,123.0,2.0,7.0,22.2,Barcelona,2017-2018
Arda Turan,tr TUR,"FW,MF",30.0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,0,0,,1,,,,,,,,,,,,,,,,,,,,,,,,,,Barcelona,2017-2018
Carles Aleñá,es ESP,MF,19.0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,0,0,,2,,,,,,,,,,,,,,,,,,,,,,,,,,Barcelona,2017-2018
David Costas,es ESP,DF,22.0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,0,0,,2,,,,,,,,,,,,,,,,,,,,,,,,,,Barcelona,2017-2018
Denis Suárez,es ESP,"MF,FW",23.0,18,4,595.0,6.6,2.0,2.0,4.0,2.0,0.0,0.0,1.0,0.0,1.9,1.9,2.7,4.6,35.0,27.0,67.0,0.3,0.3,0.61,0.3,0.61,0.29,0.41,0.7,0.29,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,12.0,5.0,41.7,1.82,0.76,0.17,0.4,16.3,0.0,0.0,0.0,0.16,0.1,0.1,312.0,387.0,80.6,4244.0,1048.0,193.0,218.0,88.5,81.0,97.0,83.5,16.0,31.0,51.6,2.0,2.7,1.8,-0.7,14.0,17.0,11.0,1.0,27.0,21.0,3.18,12.0,6.0,1.0,1.0,0.0,1.0,4.0,0.61,3.0,1.0,0.0,0.0,0.0,0.0,11.0,9.0,3.0,8.0,0.0,3.0,8.0,37.5,5.0,7.0,0.0,7.0,2.0,13.0,3.0,0.0,463.0,3.0,38.0,204.0,231.0,40.0,463.0,36.0,21.0,58.3,15.0,41.7,337.0,2303.0,1235.0,35.0,32.0,13.0,15.0,17.0,369.0,67.0,33.0,17.4,4,82.0,3,14,19.0,9,2.39,23.0,5.0,18.0,2.72,1.07,18.2,10.9,7.3,1.11,0.01,0.0,6.0,10.0,0.0,21.0,2.0,9.0,0.0,0.0,0.0,30.0,2.0,2.0,50.0,Barcelona,2017-2018
Gerard Deulofeu,es ESP,"MF,FW",23.0,10,5,503.0,5.6,1.0,1.0,2.0,1.0,0.0,0.0,1.0,0.0,1.2,1.2,1.5,2.7,32.0,14.0,84.0,0.18,0.18,0.36,0.18,0.36,0.22,0.27,0.49,0.22,0.49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,8.0,4.0,50.0,1.43,0.72,0.13,0.25,13.5,0.0,0.0,0.0,0.16,-0.2,-0.2,230.0,294.0,78.2,3290.0,494.0,138.0,158.0,87.3,57.0,73.0,78.1,18.0,31.0,58.1,1.0,1.5,0.9,-0.5,10.0,6.0,5.0,1.0,14.0,18.0,3.22,12.0,3.0,2.0,0.0,1.0,0.0,1.0,0.18,1.0,0.0,0.0,0.0,0.0,0.0,8.0,5.0,6.0,1.0,1.0,3.0,4.0,75.0,1.0,2.0,0.0,2.0,8.0,16.0,0.0,0.0,355.0,2.0,36.0,98.0,223.0,50.0,355.0,21.0,7.0,33.3,14.0,66.7,248.0,1530.0,786.0,32.0,12.0,22.0,8.0,8.0,283.0,84.0,50.0,14.7,5,71.0,0,5,30.0,3,2.6,19.0,2.0,17.0,3.04,1.41,12.7,3.4,9.3,1.66,0.66,0.0,11.0,5.0,4.0,16.0,8.0,5.0,0.0,0.0,0.0,38.0,2.0,5.0,28.6,Barcelona,2017-2018
Gerard Piqué,es ESP,DF,30.0,30,29,2632.0,29.2,2.0,0.0,2.0,2.0,0.0,0.0,9.0,0.0,2.6,2.6,1.0,3.6,29.0,99.0,10.0,0.07,0.0,0.07,0.07,0.07,0.09,0.04,0.12,0.09,0.12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,18.0,5.0,27.8,0.62,0.17,0.11,0.4,10.5,0.0,0.0,0.0,0.14,-0.6,-0.6,1669.0,1868.0,89.3,32441.0,10907.0,613.0,661.0,92.7,791.0,856.0,92.4,236.0,304.0,77.6,0.0,1.0,0.6,-1.0,6.0,111.0,5.0,0.0,99.0,19.0,0.65,16.0,0.0,1.0,1.0,1.0,0.0,1.0,0.03,1.0,0.0,0.0,0.0,0.0,0.0,31.0,22.0,22.0,9.0,0.0,16.0,36.0,44.4,20.0,40.0,27.0,13.0,30.0,61.0,127.0,0.0,2132.0,257.0,1068.0,996.0,74.0,25.0,2132.0,16.0,13.0,81.3,3.0,18.8,1347.0,7916.0,4698.0,29.0,19.0,1.0,12.0,11.0,1427.0,10.0,88.0,77.0,29,89.0,27,1,60.0,6,2.57,81.0,23.0,58.0,1.98,0.61,70.9,30.3,40.6,1.39,1.28,0.0,23.0,11.0,3.0,2.0,30.0,22.0,1.0,0.0,0.0,206.0,64.0,29.0,68.8,Barcelona,2017-2018
Ivan Rakitić,hr CRO,MF,29.0,35,31,2835.0,31.5,1.0,5.0,6.0,1.0,0.0,0.0,4.0,0.0,2.0,2.0,3.9,5.9,50.0,250.0,81.0,0.03,0.16,0.19,0.03,0.19,0.06,0.12,0.19,0.06,0.19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,28.0,11.0,39.3,0.89,0.35,0.04,0.09,22.4,0.0,0.0,0.0,0.07,-1.0,-1.0,2282.0,2575.0,88.6,38020.0,11750.0,1127.0,1202.0,93.8,827.0,905.0,91.4,238.0,325.0,73.2,5.0,3.9,4.8,1.1,29.0,241.0,28.0,2.0,250.0,87.0,2.76,69.0,7.0,1.0,5.0,2.0,3.0,15.0,0.48,11.0,1.0,1.0,1.0,1.0,0.0,52.0,31.0,16.0,30.0,6.0,15.0,45.0,33.3,30.0,42.0,7.0,35.0,44.0,96.0,16.0,0.0,2791.0,56.0,478.0,1773.0,566.0,43.0,2791.0,34.0,26.0,76.5,8.0,23.5,1839.0,7896.0,4128.0,50.0,59.0,9.0,30.0,24.0,2214.0,81.0,81.0,82.9,31,87.0,24,4,31.0,1,2.51,82.0,22.0,60.0,1.9,0.37,70.4,30.0,40.4,1.28,1.11,0.0,33.0,46.0,3.0,54.0,44.0,31.0,0.0,0.0,0.0,232.0,24.0,24.0,50.0,Barcelona,2017-2018
